                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.3195,                 1.1429,                 1.3954,                0.73377,                0.67061,                0.71438,                 0.3794,                 1.7653,                 1.3755,                 1.7187,               0.008284,               0.008284,               0.008284
                     54,                 1.3209,                 1.1387,                 1.3971,                0.64388,                0.57205,                0.62791,                0.31859,                 1.8552,                 1.5237,                 1.7654,               0.008251,               0.008251,               0.008251
                     55,                  1.305,                 1.1203,                 1.3739,                 0.6374,                0.66068,                0.70326,                0.37314,                 1.7182,                  1.319,                 1.6804,               0.008218,               0.008218,               0.008218
                     56,                  1.302,                 1.1006,                 1.3795,                0.63678,                 0.6062,                0.65273,                0.32224,                 1.9193,                  1.387,                 1.8356,               0.008185,               0.008185,               0.008185
                     57,                 1.3159,                 1.1265,                 1.3864,                0.62577,                0.66512,                0.67589,                0.36028,                 1.8456,                  1.344,                 1.7595,               0.008152,               0.008152,               0.008152
                     58,                 1.2996,                 1.1058,                 1.3728,                0.68288,                0.66013,                0.71312,                0.36698,                  1.785,                  1.281,                 1.6835,               0.008119,               0.008119,               0.008119
                     59,                 1.2931,                 1.0909,                 1.3616,                0.64251,                0.64282,                0.67973,                0.35483,                 1.7933,                 1.3529,                 1.7135,               0.008086,               0.008086,               0.008086
                     60,                 1.2954,                 1.0872,                 1.3679,                0.69356,                0.60002,                0.67153,                0.37288,                 1.7845,                 1.3426,                  1.717,               0.008053,               0.008053,               0.008053
                     61,                 1.2793,                 1.0776,                 1.3531,                0.65426,                 0.6715,                0.69448,                 0.3695,                 1.7513,                 1.2991,                 1.6997,                0.00802,                0.00802,                0.00802
                     62,                 1.2884,                 1.0834,                 1.3654,                0.66677,                0.61335,                0.66438,                0.33781,                 1.8425,                 1.3766,                 1.7634,               0.007987,               0.007987,               0.007987
                     63,                 1.2729,                 1.0714,                 1.3544,                0.67522,                0.62513,                0.67526,                 0.3608,                 1.7769,                 1.3307,                 1.7023,               0.007954,               0.007954,               0.007954
                     64,                 1.2697,                  1.065,                 1.3502,                0.67948,                0.64659,                0.69826,                0.37268,                 1.7716,                  1.339,                 1.6801,               0.007921,               0.007921,               0.007921
                     65,                 1.2545,                 1.0606,                 1.3482,                0.63501,                 0.6401,                0.65544,                0.34671,                 1.8025,                 1.3776,                 1.7596,               0.007888,               0.007888,               0.007888
                     66,                 1.2617,                 1.0371,                  1.346,                0.64643,                0.66616,                0.68108,                0.36495,                 1.8152,                  1.367,                 1.7571,               0.007855,               0.007855,               0.007855
                     67,                 1.2521,                 1.0439,                  1.348,                0.67367,                0.68394,                0.70248,                0.37391,                 1.7956,                 1.3172,                 1.7531,               0.007822,               0.007822,               0.007822
                     68,                 1.2542,                 1.0375,                  1.346,                  0.663,                0.65847,                0.69332,                0.37271,                  1.769,                 1.3646,                 1.7606,               0.007789,               0.007789,               0.007789
                     69,                 1.2551,                 1.0291,                 1.3348,                0.69268,                0.67168,                0.71828,                0.37865,                  1.789,                 1.2666,                 1.7292,               0.007756,               0.007756,               0.007756
                     70,                  1.248,                  1.034,                 1.3361,                0.69715,                0.65975,                 0.7124,                0.38326,                 1.7481,                 1.2791,                 1.6972,               0.007723,               0.007723,               0.007723
                     71,                 1.2506,                 1.0169,                  1.335,                0.67645,                0.65545,                0.68836,                0.36193,                 1.8155,                 1.3155,                 1.7181,                0.00769,                0.00769,                0.00769
                     72,                 1.2393,                 1.0179,                 1.3313,                 0.6283,                0.61138,                 0.6396,                0.32451,                 1.8225,                 1.4591,                 1.7282,               0.007657,               0.007657,               0.007657
                     73,                 1.2349,                 1.0091,                 1.3288,                0.66438,                0.66623,                0.71237,                0.38503,                 1.7691,                 1.2939,                   1.71,               0.007624,               0.007624,               0.007624
                     74,                 1.2268,                0.99919,                 1.3212,                0.64023,                0.69928,                 0.6926,                0.36198,                 1.8516,                 1.2677,                 1.7579,               0.007591,               0.007591,               0.007591
                     75,                 1.2332,                0.99375,                 1.3169,                0.66001,                0.65672,                0.67424,                0.37159,                 1.7707,                 1.3229,                 1.7051,               0.007558,               0.007558,               0.007558
                     76,                 1.2273,                0.98728,                  1.321,                0.65912,                0.67636,                0.70707,                0.38442,                 1.8049,                 1.2961,                   1.72,               0.007525,               0.007525,               0.007525
                     77,                  1.212,                0.97944,                 1.3205,                0.61712,                0.64727,                0.66094,                0.36608,                 1.8426,                 1.3314,                 1.7879,               0.007492,               0.007492,               0.007492
                     78,                 1.2079,                0.98544,                 1.3176,                0.64596,                0.66076,                 0.6721,                0.36787,                 1.8119,                 1.2645,                 1.7752,               0.007459,               0.007459,               0.007459
                     79,                 1.2163,                0.97394,                 1.3144,                0.69663,                 0.6942,                 0.7196,                0.37336,                 1.8789,                 1.2801,                 1.7591,               0.007426,               0.007426,               0.007426
                     80,                 1.2055,                0.96217,                  1.301,                0.68716,                0.66404,                0.70042,                0.37093,                 1.8557,                  1.275,                  1.772,               0.007393,               0.007393,               0.007393
                     81,                 1.1989,                0.95446,                 1.2992,                0.60992,                0.63798,                0.65359,                0.33995,                 1.8944,                 1.3973,                 1.7913,                0.00736,                0.00736,                0.00736
                     82,                  1.198,                0.94479,                 1.3017,                0.64709,                 0.6731,                0.69273,                0.37254,                 1.8174,                 1.3107,                 1.7681,               0.007327,               0.007327,               0.007327
                     83,                 1.2012,                0.95293,                 1.3028,                0.66827,                0.65988,                0.68728,                0.37104,                 1.8273,                 1.3364,                 1.7707,               0.007294,               0.007294,               0.007294
                     84,                 1.1855,                 0.9506,                 1.2864,                 0.6626,                0.67184,                0.67873,                 0.3585,                 1.8736,                 1.3912,                 1.7896,               0.007261,               0.007261,               0.007261
                     85,                 1.1698,                0.93919,                 1.2917,                0.66259,                0.70278,                0.70166,                0.37566,                 1.8341,                 1.2659,                 1.7635,               0.007228,               0.007228,               0.007228
                     86,                 1.1899,                0.93604,                 1.2933,                0.68425,                0.68019,                0.69282,                0.38122,                 1.7677,                 1.2701,                 1.7291,               0.007195,               0.007195,               0.007195
                     87,                  1.182,                 0.9292,                 1.2866,                0.68244,                0.67805,                0.69797,                0.37847,                 1.8395,                 1.2961,                 1.7913,               0.007162,               0.007162,               0.007162
                     88,                 1.1785,                0.94007,                 1.2804,                0.67238,                 0.6824,                0.69905,                 0.3864,                 1.8035,                 1.2662,                 1.7242,               0.007129,               0.007129,               0.007129
                     89,                  1.174,                0.93322,                 1.2849,                0.65207,                 0.6752,                0.69038,                0.36978,                 1.8494,                 1.3174,                 1.7951,               0.007096,               0.007096,               0.007096
                     90,                 1.1689,                0.92659,                 1.2746,                0.65501,                 0.7081,                0.72187,                0.40011,                 1.7467,                 1.2701,                 1.7091,               0.007063,               0.007063,               0.007063
                     91,                 1.1533,                 0.8998,                 1.2701,                0.65714,                 0.6569,                0.69033,                0.36757,                 1.8372,                 1.2803,                 1.8068,                0.00703,                0.00703,                0.00703
                     92,                 1.1574,                0.91182,                 1.2743,                0.68706,                0.65009,                0.69292,                0.38145,                 1.7872,                 1.3077,                 1.7296,               0.006997,               0.006997,               0.006997
                     93,                 1.1669,                0.91331,                 1.2822,                0.72075,                0.65487,                0.71482,                0.39512,                 1.7796,                 1.2536,                  1.729,               0.006964,               0.006964,               0.006964
                     94,                 1.1552,                0.90382,                 1.2761,                0.69331,                0.70088,                0.72289,                0.39457,                 1.7599,                 1.2011,                  1.703,               0.006931,               0.006931,               0.006931
                     95,                 1.1423,                0.88942,                 1.2596,                0.65988,                0.72133,                0.71925,                0.38655,                 1.8117,                 1.2246,                 1.7509,               0.006898,               0.006898,               0.006898
                     96,                 1.1424,                0.88709,                 1.2534,                0.68912,                0.64365,                0.70852,                0.38438,                 1.8057,                  1.256,                 1.7631,               0.006865,               0.006865,               0.006865
                     97,                 1.1488,                0.90449,                 1.2652,                0.64752,                0.69383,                0.70386,                0.38166,                 1.7834,                 1.2989,                 1.7229,               0.006832,               0.006832,               0.006832
                     98,                 1.1366,                0.88026,                 1.2622,                0.66969,                0.69736,                0.71765,                 0.3905,                   1.75,                 1.2401,                 1.6748,               0.006799,               0.006799,               0.006799
                     99,                 1.1423,                 0.8865,                 1.2599,                0.70518,                0.66859,                0.72121,                0.39499,                 1.7812,                 1.1825,                 1.7405,               0.006766,               0.006766,               0.006766
                    100,                 1.1327,                0.87284,                 1.2511,                0.69685,                0.71586,                 0.7351,                0.38833,                   1.85,                 1.2287,                  1.747,               0.006733,               0.006733,               0.006733
                    101,                 1.1308,                0.87613,                 1.2525,                0.69826,                0.69977,                0.73199,                0.39621,                 1.7565,                 1.2271,                 1.6976,                 0.0067,                 0.0067,                 0.0067
                    102,                  1.114,                0.86325,                 1.2481,                0.70566,                0.71464,                0.72104,                0.38597,                 1.7882,                  1.253,                 1.7113,               0.006667,               0.006667,               0.006667
                    103,                 1.1134,                0.85386,                 1.2478,                0.67035,                0.67347,                0.69266,                0.37551,                 1.8278,                 1.2817,                 1.7756,               0.006634,               0.006634,               0.006634
                    104,                 1.1195,                0.86544,                 1.2433,                 0.7054,                0.68416,                0.72263,                0.40163,                 1.7418,                 1.2351,                 1.7044,               0.006601,               0.006601,               0.006601
                    105,                 1.1101,                0.85188,                 1.2365,                0.70613,                0.68709,                0.73088,                0.39025,                  1.792,                 1.2002,                 1.7639,               0.006568,               0.006568,               0.006568
                    106,                 1.1055,                0.86428,                 1.2409,                0.70125,                0.70605,                0.73451,                0.39499,                 1.7921,                 1.2522,                 1.7344,               0.006535,               0.006535,               0.006535
                    107,                 1.1111,                0.84711,                 1.2378,                0.69658,                0.68898,                0.72801,                0.39326,                 1.7943,                 1.2129,                 1.7715,               0.006502,               0.006502,               0.006502
                    108,                 1.1015,                0.84326,                 1.2353,                0.69547,                0.69346,                0.72278,                0.39694,                 1.7852,                 1.2131,                 1.7361,               0.006469,               0.006469,               0.006469
                    109,                 1.0944,                0.83937,                 1.2302,                0.69727,                0.69011,                0.71767,                0.39104,                 1.8346,                   1.27,                 1.7988,               0.006436,               0.006436,               0.006436
                    110,                 1.0997,                 0.8442,                  1.226,                0.71137,                0.70292,                0.73292,                0.40205,                 1.8232,                 1.2141,                 1.7799,               0.006403,               0.006403,               0.006403
                    111,                 1.0983,                0.83288,                 1.2281,                0.68422,                0.71166,                0.71198,                0.39337,                 1.8542,                 1.2647,                   1.78,                0.00637,                0.00637,                0.00637
                    112,                 1.0838,                0.81444,                 1.2248,                0.65139,                0.69944,                0.69907,                0.37937,                 1.8733,                 1.2552,                 1.7981,               0.006337,               0.006337,               0.006337
